city,day,maxtemp_c,mintemp_c,avgtemp_c,maxwind_kph,totalprecip_mm,avgvis_km,avghumidity,uv,text,icon
Lublin,2020-09-08,18.8,9.6,16.0,19.8,0.0,10.0,76.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Pleszew,2018-09-15,20.0,12.1,17.1,22.7,0.4,8.0,72.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Kutno,2017-02-22,7.7,1.5,5.6,28.8,7.6,7.8,93.0,0.0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png
Lodz,2017-03-21,13.1,7.0,10.1,15.1,1.6,9.8,89.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Belchatow,2019-11-23,6.4,1.2,4.3,24.1,0.0,10.0,74.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Plock,2020-11-18,9.6,6.7,9.2,16.6,0.5,9.0,89.0,0.0,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png
Gostyn,2017-09-21,16.6,8.5,13.8,20.2,0.4,9.9,83.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Lodz,2020-07-12,19.1,11.8,17.1,16.2,0.8,9.9,66.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Krotoszyn,2019-03-06,10.1,1.4,6.9,23.0,0.0,10.0,67.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Belchatow,2021-01-18,-8.8,-15.8,-11.7,10.8,0.2,7.0,91.0,0.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Lodz,2017-05-27,21.6,9.3,19.0,10.1,0.0,9.0,69.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Krotoszyn,2019-03-13,8.8,3.0,6.7,26.6,2.0,7.3,62.0,0.0,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png
Gostyn,2017-02-15,5.3,-2.2,1.8,7.9,0.0,10.0,57.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Lodz,2017-10-12,15.9,10.6,13.8,28.8,0.4,9.9,78.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Lublin,2019-01-24,-6.3,-7.7,-7.0,25.2,0.7,8.8,86.0,0.0,Moderate snow,//cdn.weatherapi.com/weather/64x64/day/332.png
Lodz,2019-07-28,29.3,17.2,26.0,18.4,2.8,9.6,73.0,0.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png
Szczecin,2020-07-27,24.4,14.2,21.4,8.6,0.1,8.0,71.0,0.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Lodz,2020-12-27,1.5,-5.5,-0.1,25.9,0.0,10.0,66.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Lodz,2020-10-22,16.5,11.0,14.5,19.4,0.0,10.0,71.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Jarocin,2017-06-09,25.9,11.9,22.7,16.6,0.0,10.0,62.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Szczecin,2019-03-02,6.1,0.0,3.5,11.9,0.1,10.0,76.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Kutno,2020-05-19,15.6,10.0,14.4,23.0,2.0,10.0,82.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Jarocin,2021-03-06,4.2,-1.6,1.8,19.1,0.0,10.0,63.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Kutno,2021-03-01,8.2,0.2,5.0,13.7,0.0,9.0,82.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Lodz,2017-12-17,2.5,0.4,1.2,11.2,0.9,8.5,89.0,0.0,Moderate or heavy snow showers,//cdn.weatherapi.com/weather/64x64/day/371.png
Wroclaw,2020-01-20,3.5,0.2,2.4,10.1,0.1,6.8,89.0,0.0,Freezing fog,//cdn.weatherapi.com/weather/64x64/day/260.png
Lodz,2017-07-22,27.1,16.6,24.4,14.8,0.0,9.0,72.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Pleszew,2019-04-30,18.1,8.8,15.4,19.8,2.1,8.3,74.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Lodz,2020-05-17,17.2,6.2,14.0,13.3,0.0,10.0,64.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Wroclaw,2018-02-14,2.6,-1.5,0.6,12.6,0.7,9.3,82.0,0.0,Moderate or heavy snow showers,//cdn.weatherapi.com/weather/64x64/day/371.png
Lodz,2019-10-18,18.5,10.5,15.4,13.3,0.0,10.0,72.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Pleszew,2017-04-15,14.4,3.6,10.4,20.2,1.4,9.0,78.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Jarocin,2018-02-26,-7.0,-10.6,-8.6,16.9,0.0,10.0,51.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Jarocin,2020-01-12,4.4,1.7,3.2,20.2,0.0,10.0,78.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Szczecin,2018-07-16,26.6,13.6,23.7,13.7,0.1,9.0,71.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Bialystok,2017-11-22,1.9,-1.5,0.4,16.2,0.0,10.0,72.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Rawicz,2019-06-03,27.5,16.4,25.0,16.2,0.0,10.0,70.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Gostyn,2018-02-23,-2.1,-5.9,-3.9,15.5,0.0,10.0,46.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Pleszew,2020-05-10,22.1,9.2,18.5,18.4,0.9,9.8,74.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Plock,2020-03-07,8.4,3.1,6.4,18.0,0.5,8.3,84.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Pleszew,2018-06-24,17.1,10.2,14.9,23.0,5.4,9.1,85.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Belchatow,2020-08-20,25.9,16.4,23.1,13.0,0.0,10.0,63.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Rawicz,2020-02-12,3.9,1.1,2.6,40.0,0.1,9.0,65.0,0.0,Blowing snow,//cdn.weatherapi.com/weather/64x64/day/227.png
